"Region","Year","DataType","WaterStress","OpenDefecation","BasicWaterServices","BasicSanitationServices","SafeManagedWaterServices","SafeManagedSanitationServices","PopulationDensity","WaterProductivity"
"Eastern Mediterranean Region",2026,"Forecast",456.180055482815,2.00160222985794,91.8354381995718,88.3370737491672,76.1379617130521,63.173970104277,267.337854327758,82.7621847527758
"Eastern Mediterranean Region",2027,"Forecast",461.620124249743,1.61442343799949,92.2681785212571,88.5379882865126,76.1732690537046,62.8229445975783,272.42736206963,84.6324384092809
"Eastern Mediterranean Region",2028,"Forecast",467.06019301667,1.22376849061337,92.7032319682265,88.732909016711,76.1897406601549,62.4413309403894,277.516869811502,86.5026920657861
"Eastern Mediterranean Region",2029,"Forecast",472.500261783597,0.830782059209113,93.1402754739596,88.9220147507365,76.1898534047825,62.0374879575127,282.606377553375,88.3729457222912
"Eastern Mediterranean Region",2030,"Forecast",477.940330550525,0.436231883696303,93.5790310935631,89.1054789651632,76.1780025477963,61.6174902574459,287.695885295247,90.2431993787964
"European Region",2022,"Forecast",29.1059577460535,0.0173489939312571,98.218969674656,97.3669684240739,91.6314760769726,81.1006710403162,510.629538998488,166.473833951217
"European Region",2023,"Forecast",28.9639845116506,0.0171456345551475,98.2573008140134,97.4086886013459,91.6308895619089,81.3432905446732,506.451371345659,170.33482212154
"European Region",2024,"Forecast",28.8220112772476,0.0169878407523427,98.293188169183,97.4491997240141,91.6191621370728,81.6320986496315,502.733606738144,174.195810291864
"European Region",2025,"Forecast",28.6800380428446,0.0168536135899348,98.3279808724813,97.4885368305932,91.6012232096749,81.9699720452059,499.425512179627,178.056798462187
"European Region",2026,"Forecast",28.5380648084417,0.0167315751590475,98.3622832449538,97.5267339441781,91.5798211212909,82.3584658498044,496.481945073209,181.91778663251
"European Region",2027,"Forecast",28.3960915740387,0.0166158407737765,98.3963659820104,97.5638241018714,91.5564881822155,82.7895351872168,493.862737200907,185.778774802833
"European Region",2028,"Forecast",28.2541183396357,0.0165033668583142,98.4303503370905,97.5998393833575,91.5320787166929,83.253246287324,491.532146584043,189.639762973157
"European Region",2029,"Forecast",28.1121451052328,0.0163925792668448,98.464290623625,97.6348109386485,91.5070690446412,83.7363653202933,489.458369744542,193.50075114348
"European Region",2030,"Forecast",27.9701718708298,0.0162826638468032,98.4982111703984,97.6687690150263,91.4817247334561,84.2263570172339,487.613107711422,197.361739313803
