"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","DataType","WaterStress","OpenDefecation","BasicWaterServices","BasicSanitationServices","SafeManagedWaterServices","SafeManagedSanitationServices","PopulationDensity","WaterProductivity"
"European Region",2013,0,6.32,0.31,0.11,"Historical",29.4397000453261,0.0438041334693878,97.3094419888,96.5027811163265,89.8964461822449,77.5313091586364,485.588537053098,128.08943067434
"European Region",2014,0,6.15,0.31,0.11,"Historical",29.2562677212391,0.0384698123265306,97.432165702,96.6270296016327,90.28791455,78.1330096731818,493.078738266255,133.349316685702
"European Region",2015,0,5.97,0.31,0.11,"Historical",29.1943231343261,0.0335631535510204,97.567890197,96.763132537551,90.576048217551,78.7503157763636,500.395434458608,140.750921423319
"European Region",2016,0,5.65,0.31,0.11,"Historical",29.084614308587,0.0289920404285714,97.6912472216,96.8952054691837,90.8431160067347,79.2689853461364,506.679777498588,145.527780394234
"European Region",2017,0,5.19,0.31,0.11,"Historical",29.7541295678478,0.0246727255918367,97.812186117,97.0152988318367,91.0820538344898,79.7469935511364,512.187560047706,146.922031781787
"European Region",2018,0,4.74,0.31,0.11,"Historical",29.7790599508478,0.0206601246326531,97.930641809,97.1182763877551,91.2864250540816,80.1704895311364,518.574617774961,147.630634957702
"European Region",2019,0,4.46,0.31,0.11,"Historical",29.3634587918913,0.0188933984285714,98.0360589076,97.2061747865306,91.437326252449,80.4419260672727,519.951351907647,155.702594526532
"European Region",2020,0,4.1,0.29,0.09,"Historical",29.1645244350652,0.0181022521428571,98.1192163186,97.2746809171429,91.5568445312245,80.6789562738636,520.602207002843,148.649405081149
"European Region",2021,0,3.89,0.28,0.08,"Historical",29.2479309804565,0.0176404533265306,98.1751828454,97.3240031079592,91.6120803302041,80.8831290415909,515.32512540002,162.612845780894
"European Region",2022,3.53461521313811e-05,3.8188416571629,0.282605024778749,0.117272883547211,"Forecast",29.1059577460535,0.0173489939312571,98.218969674656,97.3669684240739,91.6314760769726,81.1006710403162,510.629538998488,166.473833951217
"European Region",2023,6.65509767055856e-05,3.74513001701083,0.284957512376194,0.158374320934773,"Forecast",28.9639845116506,0.0171456345551475,98.2573008140134,97.4086886013459,91.6308895619089,81.3432905446732,506.451371345659,170.33482212154
"European Region",2024,5.60139597732263e-05,3.66552670637331,0.287105662365871,0.203382620708129,"Forecast",28.8220112772476,0.0169878407523427,98.293188169183,97.4491997240141,91.6191621370728,81.6320986496315,502.733606738144,174.195810291864
"European Region",2025,0,3.57963322781068,0.289080643923572,0.251763851032589,"Forecast",28.6800380428446,0.0168536135899348,98.3279808724813,97.4885368305932,91.6012232096749,81.9699720452059,499.425512179627,178.056798462187
"European Region",2026,0,3.48735683705878,0.290902598833654,0.303151208050213,"Forecast",28.5380648084417,0.0167315751590475,98.3622832449538,97.5267339441781,91.5798211212909,82.3584658498044,496.481945073209,181.91778663251
"European Region",2027,0,3.38984987725319,0.292591811106526,0.356876796433919,"Forecast",28.3960915740387,0.0166158407737765,98.3963659820104,97.5638241018714,91.5564881822155,82.7895351872168,493.862737200907,185.778774802833
"European Region",2028,0,3.28847321590719,0.294166907139194,0.412289163699633,"Forecast",28.2541183396357,0.0165033668583142,98.4303503370905,97.5998393833575,91.5320787166929,83.253246287324,491.532146584043,189.639762973157
"European Region",2029,0,3.18498225671541,0.29564670566244,0.468644498500576,"Forecast",28.1121451052328,0.0163925792668448,98.464290623625,97.6348109386485,91.5070690446412,83.7363653202933,489.458369744542,193.50075114348
"European Region",2030,0,3.08101624677086,0.297048363935944,0.525274213496375,"Forecast",27.9701718708298,0.0162826638468032,98.4982111703984,97.6687690150263,91.4817247334561,84.2263570172339,487.613107711422,197.361739313803
"Region of the Americas",2000,0,5.88,0.38,1,"Historical",13.0880109911111,8.2523463257037,88.6754529607407,77.1069348603571,61.4906999207143,41.6965701029412,122.245450018278,33.7134906130769
"Region of the Americas",2001,0,5.81,0.38,0.94,"Historical",13.2760507239259,7.92771511111111,89.0679045981481,77.6197650535714,61.8516584357143,41.9327477176471,123.212556683889,32.2710316985769
"Region of the Americas",2002,0,5.74,0.38,0.89,"Historical",13.4935187621111,7.60706427037037,89.4909483188889,78.1401000089286,62.1922261707143,42.1269523841176,124.214706177528,31.7321803448077
"Region of the Americas",2003,0,5.66,0.37,0.86,"Historical",13.6932752554444,7.27267906507407,89.9185256574074,78.6635929235714,62.5904974371429,42.4512842188235,125.14549209125,32.219810874
"Region of the Americas",2004,0,5.58,0.37,0.82,"Historical",13.874946684963,6.94817885566667,90.3140385588889,79.1803637128571,62.9886240664286,42.8854370494118,126.031400380389,33.0355370862308
"Region of the Americas",2005,0,5.47,0.37,0.78,"Historical",13.4965280146296,6.62705003192593,90.7031601174074,79.72967741,63.3874533442857,43.2805508347059,126.556216564833,33.9925730300769
"Region of the Americas",2006,0,5.27,0.37,0.75,"Historical",13.6157410315185,6.31001500396296,91.0873016214815,80.2822941942857,63.78579248,43.6783020547059,127.331118566306,36.5413219071538
"Region of the Americas",2007,0,4.96,0.37,0.7,"Historical",13.716820911,5.99685343918518,91.4679306251852,80.8482850139286,64.181215655,44.0769396105882,128.106755535361,38.5095248179615
"Region of the Americas",2008,0,4.61,0.37,0.67,"Historical",13.9149070024815,5.68770232485185,91.8454698937037,81.4131541610714,64.572678385,44.4795967970588,128.908795246111,38.9793963261538
"Region of the Americas",2009,0,4.28,0.37,0.63,"Historical",13.9984292306667,5.38335464585185,92.2132680814815,81.9788135671429,65.1531774514286,44.8923002529412,129.6894489475,36.9112432221154
"Region of the Americas",2010,0,4.03,0.37,0.6,"Historical",14.1163309485556,5.08287457162963,92.5761153211111,82.5431621385714,65.7342136385714,45.3152763870588,130.416243441806,36.3699329822692
"Region of the Americas",2011,0,3.86,0.37,0.66,"Historical",14.1588945326667,4.78611717933333,92.9349123814815,83.1037098942857,66.314350655,45.7515335247059,131.069842955417,36.8299071841154
"Region of the Americas",2012,0,3.68,0.37,0.56,"Historical",14.2413965757037,4.49303765907407,93.2903453677778,83.6630511210714,66.8940098114286,46.2215725217647,131.771603263917,38.0321832459231
"Region of the Americas",2013,0,3.5,0.37,0.56,"Historical",14.2660750981852,4.204211179,93.6600373448148,84.2203531639286,67.5154264314286,46.6964826311765,132.524043957139,38.6218415315769
