"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level.of.water.stress..freshwater.withdrawal.as.a.proportion.of.available.freshwater.resources","People.practicing.open.defecation....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","People.using.at.least.basic.sanitation.services....of.population.","People.using.safely.managed.drinking.water.services....of.population.","People.using.safely.managed.sanitation.services....of.population.","Population.density..people.per.sq..km.of.land.area.","Population..total","Water.productivity..total..constant.2015.US..GDP.per.cubic.meter.of.total.freshwater.withdrawal.","People.with.basic.handwashing.facilities.including.soap.and.water....of.population.","logDiarrheaRate","logTyphoidRate","logHepatitisRate","logUnsafeRisk","Data_Type"
"African Region","2023",0.0199999470844128,18.1398186,0.609994927083049,5.36043587798114,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,59.4215164128118,NA,2.89810944463699,-3.91202565121101,-0.494304638106658,1.67904529229525,"Forecasted"
"African Region","2024",0.0199994812154882,18.13862249375,0.609961486329616,5.36331014146952,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,60.693697571407,NA,2.89804350430359,-3.91204894499016,-0.494359460972579,1.67958134817572,"Forecasted"
"African Region","2025",0.0199974911468064,18.1341952,0.609837740762415,5.37394972242059,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,61.9658787300023,NA,2.89779939347607,-3.91214845595641,-0.494562355948862,1.68156315444068,"Forecasted"
"African Region","2026",0.0199917625810418,18.12228515625,0.609504937179089,5.4025736570209,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,63.2380598885975,NA,2.89714240503916,-3.91243496121819,-0.495108229717755,1.68687544318304,"Forecasted"
"African Region","2027",0.0199788293370035,18.0959198,0.608768406648353,5.46594305984513,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,64.5102410471927,NA,2.89568648744529,-3.91308209921986,-0.496317368248452,1.69853667029924,"Forecasted"
"African Region","2028",0.0199540515332085,18.04472531875,0.607338649623463,5.58899804962139,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,65.782422205788,NA,2.89285341596449,-3.91432307189375,-0.498668736372283,1.72080003132013,"Forecasted"
"African Region","2029",0.0199118791791434,17.9542464,0.604812447108179,5.80649524699712,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,67.0546033643832,NA,2.88782665520156,-3.91643878167614,-0.50283687379258,1.75897716113744,"Forecasted"
"African Region","2030",0.0198462378310738,17.80526598125,0.600653997875209,6.16464584430566,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,68.3267845229784,NA,2.87949425518879,-3.91974081973272,-0.50973622092213,1.81883068878708,"Forecasted"
"Eastern Mediterranean Region","2000",0.06,15.2,0.83,5.57,313.248728130143,12.5307511854118,79.0998408495238,75.0750310328571,65.3125393353846,54.076059011875,133.44745432019,22451036.1363636,34.13558968355,NA,2.72129542785223,-2.81341071676004,-0.186329578191493,1.71739505393919,"Historical"
"Eastern Mediterranean Region","2001",0.06,15.06,0.82,5.31,317.843334160143,12.2096439493529,79.397890907619,75.3777135952381,65.4762287592308,54.277452708125,137.277848742095,23001375.9090909,34.1800789566,NA,2.71204222237175,-2.81341071676004,-0.198450938723838,1.66959183525385,"Historical"
